td_location_norm,mirror_tourney_name_norm,td_location_values,td_tournament_values,mirror_tourney_name_values,seasons,season_min,season_max,editions,alias_required,name_evidence,min_pair_overlap_td_in_mirror,min_pair_overlap_mirror_in_td
memphis,memphis,Memphis,Cellular South Cup|Memphis International|Regions Morgan Keegan Championships & the Cellular South Cup|US National Indoor Tennis Championships,Memphis,2007|2008|2009|2010|2011|2012|2013,2007,2013,7,False,exact_normalized_location,0.967742,0.967742
merida,merida,Merida,Merida Open,Merida,2023|2024,2023,2024,2,False,exact_normalized_location,1.0,1.0
miami,miami,Miami,Miami Open|Sony Ericsson Open,Miami,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021|2022|2023|2024,2007,2024,17,False,exact_normalized_location,0.989474,0.989474
monastir,monastir,Monastir,Jasmin Open,Monastir,2022|2023|2024,2022,2024,3,False,exact_normalized_location,1.0,1.0
monreal,montreal,Monreal,Rogers Cup,Montreal,2008,2008,2008,1,True,none,1.0,1.0
monterrey,monterrey,Monterrey,Monterrey Open,Monterrey,2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2009,2024,16,False,exact_normalized_location,1.0,1.0
montreal,montreal,Montreal,Canadian Open|Rogers Cup,Montreal,2010|2012|2014|2016|2018|2021|2023,2010,2023,7,False,exact_normalized_location,1.0,1.0
moscow,moscow,Moscow,Kremlin Cup|Moscow River Cup,Moscow,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2007,2021,15,False,exact_normalized_location,0.965517,0.965517
nanchang,nanchang,Nanchang,Jiangxi Tennis Open|Jiangxi Women's Tennis Open,Nanchang,2016|2017|2018|2019|2023,2016,2023,5,False,exact_normalized_location,0.967742,0.967742
new haven,new haven,New Haven,Connecticut Open|New Haven Open at Yale|Pilot Pen Tennis,New Haven,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2007,2018,12,False,exact_normalized_location,1.0,1.0
new york,cincinnati,New York,Western & Southern Financial Group Women's Open,Cincinnati,2020,2020,2020,1,True,none,1.0,1.0
new york,new york,New York,Bronx Open,New York,2019,2019,2019,1,False,exact_normalized_location,1.0,1.0
new york,us open,New York,US Open,US Open|Us Open,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024,2007,2024,18,False,exact_normalized_tournament,0.984252,0.984252
ningbo,ningbo,Ningbo,Ningbo Open,Ningbo,2023|2024,2023,2024,2,False,exact_normalized_location,1.0,1.0
